time,energy,event_type,wattmin,epower
240,2.424e+06,s,90900,10100
241.667,2.44097e+06,e,90900,10180
360,3.63613e+06,s,90900,10100
360,3.63613e+06,s,90900,10180
360,3.63613e+06,s,90900,10260
362,3.65681e+06,e,90900,10340
364.333,3.68075e+06,e,90900,10260
365,3.68754e+06,e,90900,10180
540,5.45504e+06,s,90900,10100
540,5.45504e+06,s,90900,10180
540,5.45504e+06,s,90900,10260
543.667,5.49295e+06,e,90900,10340
544.333,5.49979e+06,e,90900,10260
545.667,5.51337e+06,e,90900,10180
600,6.06213e+06,s,90900,10100
600,6.06213e+06,s,90900,10180
600,6.06213e+06,s,90900,10260
601.667,6.07937e+06,e,90900,10340
603.667,6.09989e+06,e,90900,10260
605,6.11346e+06,e,90900,10180
900,9.09296e+06,s,90900,10100
904,9.13368e+06,e,90900,10180
960,9.69928e+06,s,90900,10100
960,9.69928e+06,s,90900,10180
960,9.69928e+06,s,90900,10260
964,9.74064e+06,e,90900,10340
964.333,9.74406e+06,e,90900,10260
967,9.77121e+06,e,90900,10180
1080,1.09125e+07,s,90900,10100
1080,1.09125e+07,s,90900,10180
1085,1.09638e+07,e,90900,10260
1106,1.11776e+07,e,90900,10180
1140,1.1521e+07,s,90900,10100
1140,1.1521e+07,s,90900,10180
1140,1.1521e+07,s,90900,10260
1144.67,1.15692e+07,e,90900,10340
1145,1.15727e+07,e,90900,10260
1164.33,1.17695e+07,e,90900,10180
1440,1.45537e+07,s,90900,10100
1450.67,1.46623e+07,e,90900,10180
1500,1.51606e+07,s,90900,10100
1707.67,1.72746e+07,e,90900,10180
2880,2.91152e+07,s,90900,10100
2881.33,2.91287e+07,e,90900,10180
3840,3.88113e+07,s,90900,10100
3840,3.88113e+07,s,90900,10180
3852.33,3.89378e+07,e,90900,10260
3852.33,3.89378e+07,e,90900,10180
3900,3.94193e+07,s,90900,10100
3900,3.94193e+07,s,90900,10180
3902,3.94398e+07,e,90900,10260
3906,3.94805e+07,e,90900,10180
4200,4.24499e+07,s,90900,10100
4200,4.24499e+07,s,90900,10180
4200,4.24499e+07,s,90900,10260
4200,4.24499e+07,s,90900,10340
4200,4.24499e+07,s,90900,10420
4200,4.24499e+07,s,90900,10500
4280,4.32963e+07,e,90900,10580
4287.33,4.33733e+07,e,90900,10500
4293.33,4.34358e+07,e,90900,10420
4300,4.35047e+07,e,90900,10340
4303.33,4.35389e+07,e,90900,10260
4306,4.35661e+07,e,90900,10180
4320,4.37075e+07,s,90900,10100
